"Category","Chiller type","Typical “generation”","Core technology","Main strengths","Main weaknesses"
"Vapor-compression","Reciprocating","Older","Piston compressor with on/off or staged control pjmmechanical","Low initial cost, simple concept, flexible in small systems pjmmechanical","Noisy, more vibration, more maintenance, less efficient than modern designs pjmmechanical"
"Vapor-compression","Centrifugal","Older to mature","Dynamic compressor with impeller pjmmechanical","Very good for large loads, strong full-load efficiency, high capacity facilitiesnet+1","Can suffer at low load if not modernized, surge risk in some cases pjmmechanical"
"Vapor-compression","Screw","Mature but still very common","Twin helical rotors pjmmechanical","Reliable, good part-load behavior, fewer moving parts, low maintenance pjmmechanical","Higher upfront cost than reciprocating, not as efficient as best centrifugal units in some cases pjmmechanical"
"Vapor-compression","Scroll","Newer in mainstream HVAC","Spiral scroll compression, often modular pjmmechanical+1","Compact, quiet, efficient, good for small-to-medium loads pjmmechanical","Limited capacity compared with larger compressor types pjmmechanical"
"Vapor-compression","Oil-free centrifugal / magnetic bearing centrifugal","Newer","Centrifugal compressor with magnetic bearings and no oil circuit facilitiesnet","Higher efficiency, less friction, less maintenance, no oil fouling facilitiesnet","Higher purchase cost, more advanced controls, more specialized service facilitiesnet"
"Vapor-compression","Turbocor / variable-speed centrifugal family","Newer","High-speed compressor with VFD and oil-free design in many models youtube","Excellent part-load efficiency, fast modulation, low maintenance facilitiesnet","More complex electronics, higher capital cost facilitiesnet"
"Heat-rejection form","Air-cooled chiller","Traditional but still widely used","Rejects heat directly to air with fans pjmmechanical","Simpler installation, no cooling tower, lower water-side maintenance pjmmechanical","Lower efficiency than water-cooled, performance affected by ambient temperature pjmmechanical"
"Heat-rejection form","Water-cooled chiller","Traditional high-performance choice","Uses cooling tower and condenser water loop pjmmechanical","Better efficiency, better for large plants, stable performance facilitiesnet+1","More equipment, water treatment, higher install complexity pjmmechanical"
"Non-compressor","Absorption chiller","Different/alternative technology","Uses heat instead of mechanical compression pjmmechanical+1","Good for waste heat, steam, or peak electric reduction pjmmechanical+1","Lower efficiency, larger footprint, more complex system integration pjmmechanical+1"
"System architecture","Modular chiller","Newer concept","Multiple smaller chiller modules combined lneya","Scalable, easy expansion, good redundancy, good retrofit fit lneya","More modules means more components and possible higher cost lneya"
