Panel,Controller,Equipment,Control strategy,Points,Sequence of operations
LCP-DHC,DDC-DHC-01,DHC-CHW,Intake valve modulates to CHW setpoint / thermal demand,10,"Purpose: Primary cooling source: modulate the DHC intake so the building CHW header / thermal demand is met at minimum district energy + demand cost. | Control: Modulate intake control valve `DHC-CHW.CV` (feedback `DHC-CHW.CVFB`) to hold the CHW supply setpoint on `DHC-CHW.CS-T` (return `DHC-CHW.CR-T`); cap opening during the district peak window. Meter thermal energy `DHC-CHW.GJ` and flow `DHC-CHW.FLW` for demand limiting; coordinate changeover with R-1 (CHGV-1/2). | Safeties & monitoring: High/low supply-temp and header-pressure alarms (`DHC-CHW.CS-T`, `DHC-CHW.CS-P`); low-flow / valve-fault supervision; open the valve on loss of BMS (fail-safe cooling)."
LCP-DHC,DDC-DHC-02,DHC-STEAM,PRV to 0.2 MPa header + condensate metering,7,"Purpose: DHC steam intake: reduce 0.8 MPa district steam to the 0.2 MPa house header and meter mass flow + condensate return. | Control: PRV holds the 0.2 MPa header setpoint; meter steam mass `DHC-STEAM.MASS` and condensate hot-return `DHC-STEAM.HR-M` back to the hot-well. Enable in heating season only; isolate and drain in cooling season (Apr–May off). | Safeties: Over-pressure relief, high-header-pressure alarm, condensate-level and trap supervision."
LCP-DHC,DDC-DHC-03,HWT-1,Level control + makeup,5,Purpose: Hot-well / condensate tank: buffer condensate return to the district. | Control: Level control with makeup; high/low-level alarms.
LCP-DHC,DDC-DHC-04,"HP-5-1, HP-5-2, HP-3-1",Level-controlled condensate/kitchen pumps,21,"Purpose: Hot-well / condensate-return pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `HP-5-1.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 3 pumps (HP-5-1, HP-5-2, HP-3-1): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the hot-well level; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-DHC,DDC-DHC-05,HP-3-2,Level-controlled condensate/kitchen pumps,7,"Purpose: Hot-well / condensate-return pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `HP-3-2.SS`. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the hot-well level; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-DHC,DDC-DHC-06,"MTR-ELEC-MAIN, MTR-GAS-MAIN, MTR-WATER-MAIN",Energy integration (monitor only),3,"Purpose: Energy metering (no control output). | Function: Integrate pulse/analog energy for trend, demand limiting and peak monitoring; feed the dispatch/peak-shave logic."
LCP-DHC,DDC-DHC-07,"MTR-DHC-CHW, MTR-DHC-STEAM, MTR-DHC-COND",Energy integration (monitor only),3,"Purpose: Energy metering (no control output). | Function: Integrate pulse/analog energy for trend, demand limiting and peak monitoring; feed the dispatch/peak-shave logic."
LCP-CT,DDC-CT-01,"CT-1-1, CT-1-2, CT-1",INV fan cells hold wet-bulb-reset condenser setpoint,16,"Purpose: Reject condenser heat and hold the condenser-water setpoint at minimum fan energy. | Staging & reset: Condenser-water setpoint = wet-bulb + approach, floored for chiller min-lift. INV fan cells `*.SPD` (feedback `*.SPDFB`) modulate together to hold setpoint; stage cells (CT-1-1, CT-1-2) as load rises; start/stop `*.SS`. Sequence with condenser pumps + chiller; run only when the chiller/free-cooling calls. | Safeties & monitoring: Basin E/H heater on low temp (freeze); makeup/level & conductivity (blowdown, Legionella control); fan INV fault `*.TRIP`; run status `*.RUN`."
LCP-CT,DDC-CT-02,"CT-2-1, CT-2-2, CT-2",INV fan cells hold wet-bulb-reset condenser setpoint,18,"Purpose: Reject condenser heat and hold the condenser-water setpoint at minimum fan energy. | Staging & reset: Condenser-water setpoint = wet-bulb + approach, floored for chiller min-lift. INV fan cells `*.SPD` (feedback `*.SPDFB`) modulate together to hold setpoint; stage cells (CT-2-1, CT-2-2) as load rises; start/stop `*.SS`. Sequence with condenser pumps + chiller; run only when the chiller/free-cooling calls. | Safeties & monitoring: Basin E/H heater on low temp (freeze); makeup/level & conductivity (blowdown, Legionella control); fan INV fault `*.TRIP`; run status `*.RUN`."
LCP-CT,DDC-CT-03,"CT-3-1, CT-3",INV fan cells hold wet-bulb-reset condenser setpoint,11,"Purpose: Reject condenser heat and hold the condenser-water setpoint at minimum fan energy. | Staging & reset: Condenser-water setpoint = wet-bulb + approach, floored for chiller min-lift. INV fan cells `*.SPD` (feedback `*.SPDFB`) modulate together to hold setpoint; stage cells (CT-3-1) as load rises; start/stop `*.SS`. Sequence with condenser pumps + chiller; run only when the chiller/free-cooling calls. | Safeties & monitoring: Basin E/H heater on low temp (freeze); makeup/level & conductivity (blowdown, Legionella control); fan INV fault `*.TRIP`; run status `*.RUN`."
LCP-CT,DDC-CT-04,"CDP-1-1, CDP-1-2, CDP-1-3",Duty/standby with chiller; flow-proof,12,"Purpose: Condenser-water pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `CDP-1-1.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 3 pumps (CDP-1-1, CDP-1-2, CDP-1-3): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: Constant-speed; maintain header differential pressure via staging and the min-flow bypass. | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-CT,DDC-CT-05,"CDP-2-1, CDP-2-2, CDP-3-1",Duty/standby with chiller; flow-proof,12,"Purpose: Condenser-water pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `CDP-2-1.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 3 pumps (CDP-2-1, CDP-2-2, CDP-3-1): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: Constant-speed; maintain header differential pressure via staging and the min-flow bypass. | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-CT,DDC-CT-06,CDP-3-2,Duty/standby with chiller; flow-proof,4,Purpose: Condenser-water pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `CDP-3-2.SS`. | Modulation & reset: Constant-speed; maintain header differential pressure via staging and the min-flow bypass. | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times.
LCP-CT,DDC-CT-07,"EX-1, EMHX-1, EMHX-2",Tower free-cooling when wet-bulb low; Emergency DHC HX standby,9,"Purpose: Winter/shoulder free-cooling: use the cooling tower to make chilled water via the HX when wet-bulb is low enough, displacing the chiller. | Control: Enable when tower-approachable CHW temp < CHW setpoint; modulate the primary valve to hold the loop setpoint; hand over to/from mechanical cooling with hysteresis. | Safeties: Freeze protection; isolate when disabled. | Purpose: Transfer heat to the emergency DHC loop; hold the secondary supply temperature. | Control: Modulate primary control valve `*.PV` (feedback `*.PVFB`) to hold the secondary outlet setpoint `*.S-OUT` from primary inlet `*.P-IN`. Lead/lag/standby across 2 exchangers (EMHX-1, EMHX-2): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Safeties: Freeze / high-temp limit on the secondary; valve-fault supervision; isolate on served-loop shutdown."
LCP-CT,DDC-CT-08,MTR-CDW-KWH,Energy integration (monitor only),1,"Purpose: Energy metering (no control output). | Function: Integrate pulse/analog energy for trend, demand limiting and peak monitoring; feed the dispatch/peak-shave logic."
